       Step     Time          Energy          fmax
LBFGS:    0 11:51:29     -151.125259        1.166366
LBFGS:    1 11:51:29     -151.228775        0.980570
LBFGS:    2 11:51:30     -151.621246        0.385347
LBFGS:    3 11:51:30     -151.636765        0.329926
LBFGS:    4 11:51:30     -151.668304        0.396144
LBFGS:    5 11:51:30     -151.686768        0.344127
LBFGS:    6 11:51:30     -151.698898        0.199282
LBFGS:    7 11:51:30     -151.703979        0.205011
LBFGS:    8 11:51:30     -151.712875        0.160092
LBFGS:    9 11:51:30     -151.720322        0.161220
LBFGS:   10 11:51:31     -151.727783        0.153954
LBFGS:   11 11:51:31     -151.731216        0.127004
LBFGS:   12 11:51:31     -151.735046        0.136117
LBFGS:   13 11:51:31     -151.741409        0.142206
LBFGS:   14 11:51:31     -151.747314        0.141081
LBFGS:   15 11:51:31     -151.751328        0.157757
LBFGS:   16 11:51:31     -151.754028        0.153855
LBFGS:   17 11:51:32     -151.758133        0.123918
LBFGS:   18 11:51:32     -151.761566        0.097808
