Interface ID,Surface ID,Total atoms,Lower hkl,Upper hkl,Lower area,Upper area,U misfit (%),V misfit (%),Angle misfit (°),Area misfit (%),T_0_1,T_0_2,T_0_3,T_0_4,T_1_1,T_1_2,T_1_3,T_1_4
1,1,800,001,001,156.413616,157.242263,3.066796,2.476764,1.012783,0.529780,1.000000,0.000000,3.000000,-6.000000,1.000000,0.000000,0.000000,-5.000000
1,2,800,001,001,156.413616,157.242263,3.066796,2.476764,1.012783,0.529780,1.000000,0.000000,3.000000,-6.000000,1.000000,0.000000,0.000000,-5.000000
1,3,800,001,001,156.413616,157.242263,3.066796,2.476764,1.012783,0.529780,1.000000,0.000000,3.000000,-6.000000,1.000000,0.000000,0.000000,-5.000000
1,4,800,001,001,156.413616,157.242263,3.066796,2.476764,1.012783,0.529780,1.000000,0.000000,3.000000,-6.000000,1.000000,0.000000,0.000000,-5.000000
2,1,800,001,001,156.413616,157.242263,1.006836,0.473928,0.327634,0.529780,-1.000000,1.000000,3.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
2,2,800,001,001,156.413616,157.242263,1.006836,0.473928,0.327634,0.529780,-1.000000,1.000000,3.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
2,3,800,001,001,156.413616,157.242263,1.006836,0.473928,0.327634,0.529780,-1.000000,1.000000,3.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
2,4,800,001,001,156.413616,157.242263,1.006836,0.473928,0.327634,0.529780,-1.000000,1.000000,3.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
3,1,800,001,001,156.413616,157.242263,2.551703,1.998433,1.340281,0.529780,0.000000,1.000000,-6.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
3,2,800,001,001,156.413616,157.242263,2.551703,1.998433,1.340281,0.529780,0.000000,1.000000,-6.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
3,3,800,001,001,156.413616,157.242263,2.551703,1.998433,1.340281,0.529780,0.000000,1.000000,-6.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
3,4,800,001,001,156.413616,157.242263,2.551703,1.998433,1.340281,0.529780,0.000000,1.000000,-6.000000,3.000000,1.000000,0.000000,0.000000,-5.000000
