Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000358,0.000098,0.000143,0.000599
0.004000,0.001414,0.000389,0.000565,0.002369
0.006000,0.003115,0.000858,0.001253,0.005226
0.008000,0.005364,0.001478,0.002180,0.009021
0.010000,0.008040,0.002213,0.003307,0.013560
0.012000,0.011005,0.003023,0.004591,0.018620
0.014000,0.014102,0.003863,0.005985,0.023950
0.016000,0.017184,0.004690,0.007439,0.029313
0.018000,0.020124,0.005473,0.008913,0.034510
0.020000,0.022818,0.006187,0.010370,0.039374
0.022000,0.025193,0.006816,0.011783,0.043792
0.024000,0.027211,0.007356,0.013136,0.047703
0.026000,0.028852,0.007806,0.014415,0.051074
0.028000,0.030103,0.008170,0.015605,0.053877
0.030000,0.030956,0.008450,0.016691,0.056097
0.032000,0.031414,0.008654,0.017661,0.057729
0.034000,0.031473,0.008789,0.018498,0.058760
0.036000,0.031127,0.008859,0.019176,0.059162
0.038000,0.030370,0.008873,0.019676,0.058918
0.040000,0.029194,0.008834,0.019984,0.058012
0.042000,0.027614,0.008746,0.020094,0.056453
0.044000,0.025642,0.008608,0.020014,0.054264
0.046000,0.023317,0.008419,0.019768,0.051505
0.048000,0.020705,0.008175,0.019399,0.048279
0.050000,0.017893,0.007871,0.018963,0.044727
0.052000,0.015004,0.007502,0.018520,0.041026
0.054000,0.012166,0.007067,0.018123,0.037356
0.056000,0.009523,0.006568,0.017813,0.033904
0.058000,0.007211,0.006011,0.017608,0.030830
0.060000,0.005355,0.005403,0.017501,0.028259
0.062000,0.004050,0.004757,0.017456,0.026262
0.064000,0.003349,0.004087,0.017411,0.024847
0.066000,0.003256,0.003412,0.017284,0.023952
0.068000,0.003726,0.002749,0.016996,0.023471
0.070000,0.004664,0.002119,0.016470,0.023252
0.072000,0.005942,0.001542,0.015656,0.023141
0.074000,0.007417,0.001045,0.014552,0.023013
0.076000,0.008961,0.000650,0.013192,0.022804
0.078000,0.010471,0.000386,0.011653,0.022509
0.080000,0.011871,0.000278,0.010038,0.022187
0.082000,0.013121,0.000354,0.008465,0.021940
0.084000,0.014199,0.000640,0.007054,0.021894
0.086000,0.015103,0.001163,0.005913,0.022179
0.088000,0.015835,0.001942,0.005141,0.022918
0.090000,0.016389,0.002991,0.004818,0.024197
0.092000,0.016756,0.004308,0.005001,0.026065
0.094000,0.016926,0.005873,0.005722,0.028521
0.096000,0.016882,0.007638,0.006968,0.031488
0.098000,0.016616,0.009525,0.008680,0.034820
0.100000,0.016124,0.011438,0.010764,0.038326
0.102000,0.015414,0.013270,0.013090,0.041774
0.104000,0.014502,0.014911,0.015512,0.044924
0.106000,0.013416,0.016260,0.017879,0.047555
0.108000,0.012198,0.017235,0.020057,0.049490
0.110000,0.010899,0.017783,0.021927,0.050609
0.112000,0.009580,0.017877,0.023395,0.050851
0.114000,0.008308,0.017516,0.024398,0.050222
0.116000,0.007157,0.016731,0.024908,0.048796
0.118000,0.006202,0.015575,0.024925,0.046702
0.120000,0.005510,0.014127,0.024483,0.044120
0.122000,0.005138,0.012484,0.023641,0.041263
0.124000,0.005126,0.010759,0.022475,0.038360
0.126000,0.005495,0.009069,0.021076,0.035640
0.128000,0.006239,0.007532,0.019543,0.033314
0.130000,0.007325,0.006254,0.017972,0.031552
0.132000,0.008702,0.005320,0.016450,0.030472
0.134000,0.010289,0.004784,0.015046,0.030119
0.136000,0.011991,0.004672,0.013815,0.030477
0.138000,0.013718,0.004976,0.012792,0.031486
0.140000,0.015381,0.005669,0.011997,0.033047
0.142000,0.016883,0.006702,0.011435,0.035021
0.144000,0.018152,0.008019,0.011096,0.037267
0.146000,0.019128,0.009549,0.010969,0.039646
0.148000,0.019765,0.011220,0.011023,0.042008
0.150000,0.020047,0.012966,0.011221,0.044233
0.152000,0.019972,0.014721,0.011516,0.046209
0.154000,0.019564,0.016427,0.011858,0.047849
0.156000,0.018862,0.018037,0.012190,0.049088
0.158000,0.017926,0.019514,0.012456,0.049895
0.160000,0.016823,0.020834,0.012604,0.050261
0.162000,0.015627,0.021985,0.012593,0.050205
0.164000,0.014410,0.022964,0.012391,0.049764
0.166000,0.013239,0.023774,0.011989,0.049002
0.168000,0.012175,0.024424,0.011396,0.047996
0.170000,0.011270,0.024924,0.010641,0.046835
0.172000,0.010567,0.025281,0.009772,0.045619
0.174000,0.010094,0.025501,0.008851,0.044446
0.176000,0.009871,0.025587,0.007951,0.043409
0.178000,0.009905,0.025542,0.007147,0.042594
0.180000,0.010186,0.025368,0.006507,0.042062
0.182000,0.010684,0.025070,0.006086,0.041839
0.184000,0.011352,0.024659,0.005910,0.041921
0.186000,0.012130,0.024161,0.005986,0.042278
0.188000,0.012954,0.023603,0.006296,0.042853
0.190000,0.013761,0.023014,0.006806,0.043581
0.192000,0.014495,0.022442,0.007480,0.044418
0.194000,0.015113,0.021950,0.008281,0.045344
0.196000,0.015593,0.021592,0.009181,0.046366
0.198000,0.015925,0.021413,0.010156,0.047494
0.200000,0.016106,0.021449,0.011184,0.048739
0.202000,0.016142,0.021715,0.012241,0.050098
0.204000,0.016046,0.022189,0.013304,0.051539
0.206000,0.015840,0.022804,0.014337,0.052981
0.208000,0.015541,0.023452,0.015302,0.054295
0.210000,0.015163,0.023999,0.016141,0.055303
