Temperature (K),Energy (eV)
702.000000,-28.015013
707.000000,-28.015524
712.000000,-28.016475
716.000000,-28.016210
719.000000,-28.015550
722.000000,-28.014262
724.000000,-28.013184
725.000000,-28.012456
725.000000,-28.011501
726.000000,-28.010509
728.000000,-28.009469
733.000000,-28.008168
741.000000,-28.006741
753.000000,-28.005256
769.000000,-28.003999
791.000000,-28.003020
818.000000,-28.001343
850.000000,-27.999612
886.000000,-27.998214
923.000000,-27.997663
961.000000,-27.997071
998.000000,-27.995529
1029.000000,-27.995313
1052.000000,-27.995791
1066.000000,-27.994860
1070.000000,-27.993474
1061.000000,-27.992352
1041.000000,-27.990995
1010.000000,-27.989392
969.000000,-27.987475
921.000000,-27.986167
868.000000,-27.985095
811.000000,-27.983684
753.000000,-27.982866
696.000000,-27.981860
640.000000,-27.980317
588.000000,-27.979589
539.000000,-27.978910
497.000000,-27.978284
462.000000,-27.977051
435.000000,-27.975740
417.000000,-27.974883
407.000000,-27.974390
406.000000,-27.974031
414.000000,-27.973763
430.000000,-27.973635
451.000000,-27.973296
476.000000,-27.973154
504.000000,-27.973150
534.000000,-27.973040
563.000000,-27.972973
592.000000,-27.973086
619.000000,-27.973082
645.000000,-27.972407
669.000000,-27.971551
690.000000,-27.970583
710.000000,-27.969266
726.000000,-27.968332
740.000000,-27.967825
753.000000,-27.966407
763.000000,-27.964837
770.000000,-27.963539
775.000000,-27.962841
777.000000,-27.962795
776.000000,-27.962136
774.000000,-27.961046
769.000000,-27.960104
760.000000,-27.959684
749.000000,-27.959279
735.000000,-27.958707
719.000000,-27.958151
701.000000,-27.957287
682.000000,-27.955960
661.000000,-27.954653
639.000000,-27.953471
617.000000,-27.952673
595.000000,-27.952147
573.000000,-27.951619
554.000000,-27.950823
537.000000,-27.949945
522.000000,-27.949322
509.000000,-27.948879
500.000000,-27.948443
494.000000,-27.948013
491.000000,-27.947657
491.000000,-27.947351
494.000000,-27.947028
499.000000,-27.946948
507.000000,-27.946616
517.000000,-27.946406
529.000000,-27.946405
542.000000,-27.946247
557.000000,-27.946029
573.000000,-27.945698
590.000000,-27.945352
608.000000,-27.945281
627.000000,-27.945054
647.000000,-27.944075
668.000000,-27.943737
688.000000,-27.943610
708.000000,-27.943514
727.000000,-27.943456
746.000000,-27.942659
763.000000,-27.941711
779.000000,-27.941272
792.000000,-27.940857
803.000000,-27.940361
813.000000,-27.939613
820.000000,-27.938768
826.000000,-27.938186
831.000000,-27.937610
834.000000,-27.937404
838.000000,-27.937134
841.000000,-27.936219
845.000000,-27.935181
847.000000,-27.934512
848.000000,-27.934220
846.000000,-27.933073
843.000000,-27.931603
836.000000,-27.930117
825.000000,-27.928796
810.000000,-27.926777
790.000000,-27.924788
766.000000,-27.922655
738.000000,-27.921343
708.000000,-27.919110
678.000000,-27.914804
646.000000,-27.911332
614.000000,-27.910035
586.000000,-27.909449
563.000000,-27.908609
550.000000,-27.907635
546.000000,-27.906826
553.000000,-27.906316
570.000000,-27.905970
595.000000,-27.905835
623.000000,-27.905940
651.000000,-27.905886
676.000000,-27.904709
694.000000,-27.903484
701.000000,-27.903258
698.000000,-27.902229
687.000000,-27.900401
668.000000,-27.898847
644.000000,-27.896789
617.000000,-27.895473
590.000000,-27.894478
566.000000,-27.892848
547.000000,-27.891450
535.000000,-27.890544
532.000000,-27.889800
538.000000,-27.889280
556.000000,-27.888995
585.000000,-27.888956
625.000000,-27.888802
677.000000,-27.888648
740.000000,-27.888618
811.000000,-27.887923
887.000000,-27.887394
963.000000,-27.887157
1034.000000,-27.886760
1093.000000,-27.885592
1135.000000,-27.884662
1154.000000,-27.883101
1148.000000,-27.881102
1117.000000,-27.878483
1065.000000,-27.876195
997.000000,-27.873779
920.000000,-27.871596
843.000000,-27.869278
771.000000,-27.865720
708.000000,-27.863890
658.000000,-27.862585
620.000000,-27.860995
595.000000,-27.859423
579.000000,-27.858233
570.000000,-27.857179
565.000000,-27.856614
562.000000,-27.856923
559.000000,-27.856851
557.000000,-27.856244
554.000000,-27.855377
551.000000,-27.854531
548.000000,-27.853660
544.000000,-27.853279
542.000000,-27.852104
540.000000,-27.851355
539.000000,-27.849926
539.000000,-27.847962
538.000000,-27.846744
536.000000,-27.846025
534.000000,-27.845011
531.000000,-27.843273
528.000000,-27.842598
527.000000,-27.842690
535.000000,-27.841620
553.000000,-27.840103
586.000000,-27.839120
636.000000,-27.839045
702.000000,-27.839729
781.000000,-27.840869
865.000000,-27.841699
943.000000,-27.842190
1006.000000,-27.842568
1047.000000,-27.843354
1059.000000,-27.843257
