Normalized Reaction Coordinate,Energy (meV)
0.00000000,0.00000000
0.00309956,0.34748022
0.00619911,1.37794836
0.00929867,3.07344563
0.01239823,5.41601323
0.01549779,8.38769238
0.01859734,11.97052427
0.02169690,16.14655013
0.02479646,20.89781116
0.02789602,26.20634856
0.03099557,32.05420355
0.03409513,38.42341733
0.03719469,45.29603112
0.04029425,52.65408612
0.04339380,60.47962353
0.04649336,68.75468458
0.04959292,77.46131046
0.05269247,86.58154239
0.05579203,96.09742157
0.05889159,105.99098921
0.06199115,116.24428652
0.06509070,126.83935472
0.06819026,137.75823500
0.07128982,148.98296857
0.07438938,160.49559666
0.07748893,172.27816045
0.08058849,184.31270117
0.08368805,196.58126001
0.08678761,209.06587820
0.08988716,221.74859693
0.09298672,234.61145742
0.09608628,247.63650087
0.09918583,260.80576849
0.10228539,274.10130150
0.10538495,287.50514109
0.10848451,300.99932849
0.11158406,314.56590489
0.11468362,328.18691150
0.11778318,341.84438954
0.12088274,355.52038021
0.12398229,369.19692472
0.12708185,382.85606428
0.13018141,396.47984010
0.13328097,410.05029338
0.13638052,423.54946534
0.13948008,436.95939718
0.14257964,450.26213011
0.14567919,463.43970534
0.14877875,476.47416409
0.15187831,489.34754754
0.15497787,502.04189693
0.15807742,514.53925344
0.16117698,526.82165830
0.16427654,538.87115271
0.16737610,550.66979247
0.17047565,562.20560422
0.17357521,573.48174394
0.17667477,584.50372776
0.17977433,595.27707178
0.18287388,605.80729214
0.18597344,616.09990495
0.18907300,626.16042634
0.19217255,635.99437243
0.19527211,645.60725933
0.19837167,655.00460318
0.20147123,664.19192008
0.20457078,673.17472616
0.20767034,681.95853755
0.21076990,690.54887036
0.21386946,698.95124072
0.21696901,707.17116474
0.22006857,715.21415855
0.22316813,723.08573826
0.22626769,730.79142001
0.22936724,738.33671991
0.23246680,745.72715408
0.23556636,752.96823864
0.23866591,760.06548971
0.24176547,767.02442343
0.24486503,773.85055589
0.24796459,780.54940324
0.25106414,787.12648159
0.25416370,793.58730705
0.25726326,799.93739576
0.26036282,806.18226382
0.26346237,812.32742738
0.26656193,818.37840253
0.26966149,824.34070541
0.27276105,830.21985214
0.27586060,836.02135884
0.27896016,841.75074163
0.28205972,847.41351662
0.28515927,853.01519995
0.28825883,858.56130773
0.29135839,864.05735609
0.29445795,869.50886114
0.29755750,874.92133901
0.30065706,880.30030581
0.30375662,885.65127767
0.30685618,890.97977072
0.30995573,896.29130106
0.31305529,901.59138482
0.31615485,906.88553813
0.31925441,912.17927711
0.32235396,917.47811786
0.32545352,922.78757653
0.32855308,928.11316922
0.33165263,933.46041206
0.33475219,938.83471924
0.33785175,944.23726731
0.34095131,949.66356357
0.34405086,955.10871940
0.34715042,960.56784619
0.35024998,966.03605532
0.35334954,971.50845818
0.35644909,976.98016616
0.35954865,982.44629065
0.36264821,987.90194303
0.36574777,993.34223469
0.36884732,998.76227702
0.37194688,1004.15718140
0.37504644,1009.52205923
0.37814599,1014.85202188
0.38124555,1020.14218075
0.38434511,1025.38764722
0.38744467,1030.58353268
0.39054422,1035.72494852
0.39364378,1040.80700612
0.39674334,1045.82481687
0.39984290,1050.77349216
0.40294245,1055.64814338
0.40604201,1060.44388191
0.40914157,1065.15581913
0.41224113,1069.77906645
0.41534068,1074.30873523
0.41844024,1078.73993688
0.42153980,1083.06778277
0.42463935,1087.28738430
0.42773891,1091.39385285
0.43083847,1095.38229981
0.43393803,1099.24783657
0.43703758,1102.98557451
0.44013714,1106.59062502
0.44323670,1110.05809948
0.44633626,1113.38310929
0.44943581,1116.56076584
0.45253537,1119.58618050
0.45563493,1122.45446466
0.45873449,1125.16072972
0.46183404,1127.70008706
0.46493360,1130.06764806
0.46803316,1132.25852412
0.47113271,1134.26782662
0.47423227,1136.09066695
0.47733183,1137.72215649
0.48043139,1139.15740663
0.48353094,1140.39152876
0.48663050,1141.41963427
0.48973006,1142.23683455
0.49282962,1142.83824097
0.49592917,1143.21896493
0.49902873,1143.37411781
0.50212829,1143.29960918
0.50522784,1142.99747443
0.50832740,1142.47258593
0.51142696,1141.72983148
0.51452652,1140.77409892
0.51762607,1139.61027608
0.52072563,1138.24325076
0.52382519,1136.67791080
0.52692475,1134.91914402
0.53002430,1132.97183823
0.53312386,1130.84088127
0.53622342,1128.53116095
0.53932298,1126.04756509
0.54242253,1123.39498153
0.54552209,1120.57829807
0.54862165,1117.60240255
0.55172120,1114.47218278
0.55482076,1111.19252659
0.55792032,1107.76832180
0.56101988,1104.20445624
0.56411943,1100.50581772
0.56721899,1096.67729406
0.57031855,1092.72377310
0.57341811,1088.65014265
0.57651766,1084.46129053
0.57961722,1080.16210457
0.58271678,1075.75747259
0.58581634,1071.25228241
0.58891589,1066.65142186
0.59201545,1061.95977875
0.59511501,1057.18224091
0.59821456,1052.32369616
0.60131412,1047.38903232
0.60441368,1042.38313723
0.60751324,1037.31089868
0.61061279,1032.17720452
0.61371235,1026.98694257
0.61681191,1021.74500063
0.61991147,1016.45626655
0.62301102,1011.12562814
0.62611058,1005.75797321
0.62921014,1000.35818961
0.63230970,994.93116514
0.63540925,989.48178763
0.63850881,984.01494490
0.64160837,978.53552478
0.64470792,973.04841508
0.64780748,967.55850363
0.65090704,962.07067826
0.65400660,956.58982677
0.65710615,951.12083701
0.66020571,945.66859678
0.66330527,940.23799391
0.66640483,934.83391179
0.66950438,929.45871304
0.67260394,924.10803456
0.67570350,918.77640363
0.67880306,913.45834749
0.68190261,908.14839342
0.68500217,902.84106867
0.68810173,897.53090052
0.69120128,892.21241622
0.69430084,886.88014304
0.69740040,881.52860825
0.70049996,876.15233910
0.70359951,870.74586286
0.70669907,865.30370680
0.70979863,859.82039818
0.71289819,854.29046425
0.71599774,848.70843230
0.71909730,843.06882958
0.72219686,837.36618335
0.72529642,831.59502087
0.72839597,825.74986942
0.73149553,819.82525626
0.73459509,813.81570864
0.73769464,807.71575384
0.74079420,801.51991911
0.74389376,795.22273173
0.74699332,788.81871895
0.75009287,782.30240804
0.75319243,775.66832626
0.75629199,768.91100088
0.75939155,762.02495916
0.76249110,755.00472836
0.76559066,747.84483575
0.76869022,740.53980860
0.77178978,733.08417415
0.77488933,725.47245969
0.77798889,717.69919247
0.78108845,709.75889976
0.78418800,701.64610882
0.78728756,693.35534691
0.79038712,684.88114130
0.79348668,676.21801926
0.79658623,667.36050804
0.79968579,658.30313491
0.80278535,649.04042714
0.80588491,639.56691198
0.80898446,629.87711671
0.81208402,619.96556858
0.81518358,609.82679486
0.81828314,599.45532281
0.82138269,588.84567970
0.82448225,577.99239279
0.82758181,566.88998935
0.83068136,555.53299663
0.83378092,543.91605336
0.83688048,532.04200047
0.83998004,519.92734971
0.84307959,507.58990832
0.84617915,495.04748352
0.84927871,482.31788255
0.85237827,469.41891264
0.85547782,456.36838100
0.85857738,443.18409489
0.86167694,429.88386152
0.86477650,416.48548812
0.86787605,403.00678193
0.87097561,389.46555018
0.87407517,375.87960008
0.87717472,362.26673889
0.88027428,348.64477381
0.88337384,335.03151209
0.88647340,321.44476096
0.88957295,307.90232763
0.89267251,294.42201935
0.89577207,281.02164335
0.89887163,267.71900684
0.90197118,254.53191707
