Time[ps]    Etot/N[eV]   Epot/N[eV]   Ekin/N[eV]    T[K]
0.0000          -7.6898      -7.9345       0.2447  1892.9
0.0500          -7.6889      -7.8280       0.1391  1075.8
0.1000          -7.6875      -7.8336       0.1460  1129.8
0.1500          -7.6850      -7.8390       0.1540  1191.5
0.2000          -7.6824      -7.8158       0.1334  1031.7
0.2500          -7.6800      -7.8564       0.1765  1365.3
0.3000          -7.6743      -7.7861       0.1118   864.8
0.3500          -7.6708      -7.8045       0.1337  1034.2
0.4000          -7.6626      -7.8187       0.1561  1207.4
0.4500          -7.6568      -7.8086       0.1518  1174.2
0.5000          -7.6449      -7.8189       0.1740  1345.9
0.5500          -7.6330      -7.7769       0.1440  1113.9
0.6000          -7.6246      -7.7808       0.1562  1208.3
0.6500          -7.6173      -7.8201       0.2028  1569.1
0.7000          -7.6073      -7.7589       0.1516  1173.0
0.7500          -7.6024      -7.7574       0.1549  1198.7
0.8000          -7.5969      -7.7434       0.1466  1134.1
0.8500          -7.5953      -7.7960       0.2007  1552.5
0.9000          -7.5912      -7.7789       0.1877  1452.0
0.9500          -7.5855      -7.7694       0.1839  1422.6
1.0000          -7.5853      -7.7645       0.1792  1386.6
1.0500          -7.5805      -7.7622       0.1817  1405.7
1.1000          -7.5788      -7.7860       0.2072  1602.9
1.1500          -7.5746      -7.7625       0.1879  1453.6
1.2000          -7.5729      -7.7603       0.1874  1450.1
1.2500          -7.5694      -7.7614       0.1920  1485.0
1.3000          -7.5677      -7.8041       0.2364  1828.8
1.3500          -7.5651      -7.7808       0.2157  1668.7
1.4000          -7.5635      -7.7671       0.2036  1575.0
1.4500          -7.5618      -7.7436       0.1818  1406.2
1.5000          -7.5600      -7.7472       0.1872  1448.4
1.5500          -7.5595      -7.8174       0.2579  1994.9
1.6000          -7.5588      -7.7707       0.2119  1639.1
1.6500          -7.5563      -7.7386       0.1823  1410.7
1.7000          -7.5546      -7.7232       0.1686  1304.7
1.7500          -7.5572      -7.7638       0.2067  1598.8
1.8000          -7.5522      -7.7043       0.1521  1176.8
1.8500          -7.5548      -7.7550       0.2002  1548.6
1.9000          -7.5549      -7.7769       0.2220  1717.4
1.9500          -7.5565      -7.7962       0.2396  1853.9
2.0000          -7.5563      -7.7633       0.2070  1601.4
2.0500          -7.5568      -7.7702       0.2134  1651.2
2.1000          -7.5583      -7.7435       0.1852  1432.5
2.1500          -7.5614      -7.7751       0.2137  1653.5
2.2000          -7.5645      -7.7995       0.2350  1818.2
2.2500          -7.5638      -7.7799       0.2161  1671.8
2.3000          -7.5671      -7.7325       0.1654  1279.4
2.3500          -7.5711      -7.7648       0.1936  1498.1
2.4000          -7.5739      -7.7456       0.1717  1328.1
2.4500          -7.5779      -7.7664       0.1885  1458.5
2.5000          -7.5820      -7.7286       0.1466  1134.3
2.5500          -7.5871      -7.7804       0.1934  1495.9
2.6000          -7.5959      -7.7648       0.1689  1306.9
2.6500          -7.6024      -7.7912       0.1888  1460.5
2.7000          -7.6075      -7.7670       0.1595  1234.0
