Volume[Å³],Energy[eV/atom]
43.51310814,-4.05904880
43.57803817,-4.06048432
43.64296820,-4.06188706
43.70789823,-4.06325734
43.77282826,-4.06459544
43.83775829,-4.06590165
43.90268831,-4.06717625
43.96761834,-4.06841953
44.03254837,-4.06963177
44.09747840,-4.07081324
44.16240843,-4.07196423
44.22733846,-4.07308500
44.29226848,-4.07417582
44.35719851,-4.07523696
44.42212854,-4.07626870
44.48705857,-4.07727128
44.55198860,-4.07824498
44.61691862,-4.07919005
44.68184865,-4.08010674
44.74677868,-4.08099531
44.81170871,-4.08185602
44.87663874,-4.08268910
44.94156877,-4.08349482
45.00649879,-4.08427340
45.07142882,-4.08502510
45.13635885,-4.08575016
45.20128888,-4.08644881
45.26621891,-4.08712129
45.33114893,-4.08776783
45.39607896,-4.08838867
45.46100899,-4.08898404
45.52593902,-4.08955416
45.59086905,-4.09009926
45.65579908,-4.09061956
45.72072910,-4.09111528
45.78565913,-4.09158665
45.85058916,-4.09203388
45.91551919,-4.09245719
45.98044922,-4.09285680
46.04537925,-4.09323290
46.11030927,-4.09358572
46.17523930,-4.09391547
46.24016933,-4.09422234
46.30509936,-4.09450655
46.37002939,-4.09476829
46.43495941,-4.09500778
46.49988944,-4.09522520
46.56481947,-4.09542075
46.62974950,-4.09559464
46.69467953,-4.09574705
46.75960956,-4.09587818
46.82453958,-4.09598822
46.88946961,-4.09607735
46.95439964,-4.09614577
47.01932967,-4.09619367
47.08425970,-4.09622121
47.14918973,-4.09622859
47.21411975,-4.09621600
47.27904978,-4.09618360
47.34397981,-4.09613157
47.40890984,-4.09606010
47.47383987,-4.09596935
47.53876989,-4.09585951
47.60369992,-4.09573073
47.66862995,-4.09558320
47.73355998,-4.09541708
47.79849001,-4.09523253
47.86342004,-4.09502973
47.92835006,-4.09480884
47.99328009,-4.09457002
48.05821012,-4.09431343
48.12314015,-4.09403924
48.18807018,-4.09374760
48.25300020,-4.09343867
48.31793023,-4.09311260
48.38286026,-4.09276955
48.44779029,-4.09240968
48.51272032,-4.09203314
48.57765035,-4.09164007
48.64258037,-4.09123063
48.70751040,-4.09080496
48.77244043,-4.09036321
48.83737046,-4.08990553
48.90230049,-4.08943207
48.96723052,-4.08894295
49.03216054,-4.08843834
49.09709057,-4.08791836
49.16202060,-4.08738316
49.22695063,-4.08683288
49.29188066,-4.08626765
49.35681068,-4.08568761
49.42174071,-4.08509290
49.48667074,-4.08448364
49.55160077,-4.08385997
49.61653080,-4.08322203
49.68146083,-4.08256993
49.74639085,-4.08190382
49.81132088,-4.08122382
49.87625091,-4.08053006
49.94118094,-4.07982266
