Time (ps),MSD_x (Å²),MSD_y (Å²),MSD_z (Å²),MSD_total (Å²)
0.000000,0.000000,0.000000,0.000000,0.000000
0.002000,0.000091,0.000049,0.000010,0.000150
0.004000,0.000361,0.000191,0.000040,0.000591
0.006000,0.000796,0.000418,0.000089,0.001303
0.008000,0.001374,0.000715,0.000156,0.002246
0.010000,0.002067,0.001062,0.000240,0.003369
0.012000,0.002835,0.001434,0.000339,0.004607
0.014000,0.003638,0.001802,0.000450,0.005890
0.016000,0.004439,0.002141,0.000572,0.007152
0.018000,0.005203,0.002431,0.000702,0.008336
0.020000,0.005905,0.002656,0.000838,0.009399
0.022000,0.006529,0.002811,0.000978,0.010318
0.024000,0.007066,0.002892,0.001117,0.011076
0.026000,0.007514,0.002906,0.001253,0.011672
0.028000,0.007872,0.002857,0.001382,0.012111
0.030000,0.008145,0.002755,0.001500,0.012400
0.032000,0.008335,0.002610,0.001603,0.012548
0.034000,0.008447,0.002431,0.001688,0.012566
0.036000,0.008483,0.002228,0.001752,0.012463
0.038000,0.008446,0.002012,0.001793,0.012251
0.040000,0.008337,0.001791,0.001813,0.011940
0.042000,0.008159,0.001574,0.001813,0.011545
0.044000,0.007913,0.001366,0.001796,0.011076
0.046000,0.007603,0.001175,0.001768,0.010546
0.048000,0.007233,0.001002,0.001730,0.009965
0.050000,0.006805,0.000850,0.001685,0.009340
0.052000,0.006326,0.000717,0.001636,0.008678
0.054000,0.005801,0.000605,0.001580,0.007986
0.056000,0.005238,0.000512,0.001518,0.007268
0.058000,0.004647,0.000439,0.001446,0.006532
0.060000,0.004039,0.000387,0.001363,0.005789
0.062000,0.003429,0.000358,0.001268,0.005055
0.064000,0.002831,0.000355,0.001160,0.004346
0.066000,0.002263,0.000381,0.001044,0.003688
0.068000,0.001742,0.000441,0.000923,0.003106
0.070000,0.001284,0.000537,0.000802,0.002624
0.072000,0.000906,0.000671,0.000692,0.002269
0.074000,0.000619,0.000844,0.000600,0.002063
0.076000,0.000436,0.001054,0.000537,0.002027
0.078000,0.000367,0.001301,0.000513,0.002181
0.080000,0.000420,0.001581,0.000538,0.002539
0.082000,0.000607,0.001892,0.000621,0.003120
0.084000,0.000939,0.002231,0.000768,0.003938
0.086000,0.001432,0.002591,0.000985,0.005008
0.088000,0.002099,0.002968,0.001273,0.006340
0.090000,0.002954,0.003351,0.001631,0.007936
0.092000,0.004005,0.003730,0.002048,0.009783
0.094000,0.005252,0.004088,0.002509,0.011849
0.096000,0.006679,0.004408,0.002990,0.014077
0.098000,0.008257,0.004669,0.003462,0.016388
0.100000,0.009936,0.004854,0.003895,0.018685
0.102000,0.011657,0.004948,0.004261,0.020866
0.104000,0.013354,0.004943,0.004538,0.022835
0.106000,0.014965,0.004836,0.004710,0.024511
0.108000,0.016433,0.004631,0.004775,0.025839
0.110000,0.017715,0.004337,0.004735,0.026787
0.112000,0.018780,0.003966,0.004600,0.027346
0.114000,0.019602,0.003535,0.004385,0.027521
0.116000,0.020168,0.003063,0.004107,0.027338
0.118000,0.020474,0.002574,0.003786,0.026834
0.120000,0.020525,0.002094,0.003442,0.026061
0.122000,0.020332,0.001654,0.003095,0.025081
0.124000,0.019917,0.001284,0.002763,0.023964
0.126000,0.019309,0.001013,0.002461,0.022783
0.128000,0.018550,0.000860,0.002202,0.021612
0.130000,0.017682,0.000839,0.001993,0.020514
0.132000,0.016744,0.000949,0.001840,0.019533
0.134000,0.015771,0.001183,0.001742,0.018696
0.136000,0.014788,0.001521,0.001700,0.018009
0.138000,0.013816,0.001941,0.001710,0.017468
0.140000,0.012864,0.002419,0.001772,0.017055
0.142000,0.011932,0.002929,0.001880,0.016741
0.144000,0.011019,0.003444,0.002029,0.016491
0.146000,0.010117,0.003937,0.002210,0.016264
0.148000,0.009220,0.004384,0.002413,0.016017
0.150000,0.008318,0.004764,0.002624,0.015706
0.152000,0.007413,0.005058,0.002828,0.015300
0.154000,0.006508,0.005253,0.003009,0.014770
0.156000,0.005608,0.005342,0.003153,0.014104
0.158000,0.004729,0.005329,0.003249,0.013306
0.160000,0.003887,0.005220,0.003289,0.012396
0.162000,0.003103,0.005028,0.003272,0.011403
0.164000,0.002400,0.004770,0.003197,0.010367
0.166000,0.001795,0.004462,0.003068,0.009326
0.168000,0.001309,0.004120,0.002893,0.008322
0.170000,0.000955,0.003759,0.002677,0.007391
0.172000,0.000743,0.003392,0.002430,0.006565
0.174000,0.000678,0.003031,0.002160,0.005870
0.176000,0.000756,0.002687,0.001878,0.005321
0.178000,0.000968,0.002367,0.001592,0.004927
0.180000,0.001298,0.002078,0.001314,0.004691
0.182000,0.001725,0.001825,0.001055,0.004606
0.184000,0.002224,0.001611,0.000824,0.004659
0.186000,0.002767,0.001439,0.000631,0.004837
0.188000,0.003330,0.001312,0.000483,0.005125
0.190000,0.003889,0.001232,0.000386,0.005507
0.192000,0.004421,0.001200,0.000345,0.005966
0.194000,0.004908,0.001221,0.000360,0.006489
0.196000,0.005340,0.001296,0.000431,0.007068
0.198000,0.005709,0.001428,0.000557,0.007694
0.200000,0.006014,0.001618,0.000733,0.008366
0.202000,0.006257,0.001868,0.000959,0.009084
0.204000,0.006444,0.002176,0.001231,0.009851
0.206000,0.006581,0.002536,0.001552,0.010669
0.208000,0.006680,0.002940,0.001924,0.011544
0.210000,0.006755,0.003375,0.002353,0.012482
0.212000,0.006816,0.003825,0.002845,0.013486
0.214000,0.006875,0.004270,0.003409,0.014554
0.216000,0.006942,0.004688,0.004050,0.015679
0.218000,0.007022,0.005058,0.004771,0.016851
0.220000,0.007121,0.005359,0.005571,0.018051
0.222000,0.007240,0.005574,0.006441,0.019255
0.224000,0.007380,0.005689,0.007362,0.020432
0.226000,0.007538,0.005698,0.008309,0.021544
0.228000,0.007708,0.005602,0.009246,0.022556
0.230000,0.007886,0.005414,0.010133,0.023434
0.232000,0.008064,0.005158,0.010923,0.024144
0.234000,0.008230,0.004864,0.011568,0.024661
0.236000,0.008371,0.004570,0.012028,0.024969
0.238000,0.008471,0.004312,0.012277,0.025060
0.240000,0.008515,0.004123,0.012303,0.024942
0.242000,0.008489,0.004022,0.012114,0.024625
0.244000,0.008384,0.004015,0.011737,0.024136
0.246000,0.008193,0.004102,0.011208,0.023503
0.248000,0.007913,0.004272,0.010571,0.022756
0.250000,0.007544,0.004514,0.009867,0.021925
0.252000,0.007089,0.004816,0.009134,0.021039
0.254000,0.006554,0.005165,0.008401,0.020120
0.256000,0.005947,0.005549,0.007693,0.019189
0.258000,0.005285,0.005956,0.007023,0.018264
0.260000,0.004586,0.006376,0.006397,0.017359
0.262000,0.003873,0.006792,0.005818,0.016483
0.264000,0.003174,0.007190,0.005282,0.015646
0.266000,0.002513,0.007552,0.004785,0.014849
0.268000,0.001915,0.007859,0.004322,0.014097
0.270000,0.001399,0.008099,0.003894,0.013392
0.272000,0.000975,0.008257,0.003500,0.012732
0.274000,0.000648,0.008321,0.003142,0.012111
0.276000,0.000415,0.008283,0.002826,0.011523
0.278000,0.000270,0.008137,0.002555,0.010962
0.280000,0.000204,0.007879,0.002336,0.010419
0.282000,0.000203,0.007510,0.002172,0.009886
0.284000,0.000255,0.007036,0.002065,0.009357
0.286000,0.000345,0.006467,0.002013,0.008826
0.288000,0.000460,0.005819,0.002011,0.008290
0.290000,0.000586,0.005114,0.002050,0.007751
0.292000,0.000714,0.004377,0.002120,0.007211
0.294000,0.000835,0.003638,0.002205,0.006678
0.296000,0.000944,0.002923,0.002293,0.006160
0.298000,0.001039,0.002261,0.002372,0.005672
0.300000,0.001119,0.001674,0.002433,0.005226
0.302000,0.001186,0.001181,0.002471,0.004838
0.304000,0.001242,0.000797,0.002485,0.004525
0.306000,0.001292,0.000534,0.002476,0.004302
0.308000,0.001339,0.000396,0.002450,0.004185
0.310000,0.001387,0.000390,0.002413,0.004190
0.312000,0.001438,0.000517,0.002375,0.004331
0.314000,0.001497,0.000779,0.002346,0.004622
0.316000,0.001566,0.001171,0.002337,0.005074
0.318000,0.001647,0.001688,0.002360,0.005695
0.320000,0.001742,0.002314,0.002425,0.006481
0.322000,0.001850,0.003028,0.002541,0.007419
0.324000,0.001971,0.003800,0.002714,0.008485
0.326000,0.002100,0.004601,0.002946,0.009647
0.328000,0.002234,0.005397,0.003233,0.010863
0.330000,0.002367,0.006153,0.003567,0.012087
0.332000,0.002493,0.006841,0.003937,0.013271
0.334000,0.002607,0.007438,0.004329,0.014374
0.336000,0.002703,0.007927,0.004727,0.015357
0.338000,0.002776,0.008295,0.005112,0.016184
0.340000,0.002823,0.008534,0.005470,0.016827
