Temperature (K),Energy (eV)
333.000000,-98.275743
320.000000,-98.280131
331.000000,-98.280767
366.000000,-98.281302
417.000000,-98.282707
470.000000,-98.285705
514.000000,-98.287953
534.000000,-98.290082
522.000000,-98.290557
476.000000,-98.291302
404.000000,-98.289879
320.000000,-98.287037
241.000000,-98.284100
181.000000,-98.282726
151.000000,-98.281154
159.000000,-98.280529
199.000000,-98.281675
266.000000,-98.284260
345.000000,-98.287067
422.000000,-98.289336
478.000000,-98.290024
504.000000,-98.289856
494.000000,-98.287774
453.000000,-98.284804
390.000000,-98.281160
320.000000,-98.278005
254.000000,-98.275755
203.000000,-98.274188
173.000000,-98.272400
166.000000,-98.272377
184.000000,-98.273301
222.000000,-98.275028
278.000000,-98.276295
342.000000,-98.277534
404.000000,-98.279618
450.000000,-98.281958
471.000000,-98.283744
460.000000,-98.284530
419.000000,-98.283131
357.000000,-98.280669
288.000000,-98.277114
230.000000,-98.274403
197.000000,-98.272389
198.000000,-98.271710
237.000000,-98.272891
307.000000,-98.274785
395.000000,-98.277645
484.000000,-98.280595
551.000000,-98.281478
583.000000,-98.282317
572.000000,-98.281057
522.000000,-98.277694
447.000000,-98.273869
361.000000,-98.269965
280.000000,-98.266367
214.000000,-98.263322
171.000000,-98.262222
154.000000,-98.262082
163.000000,-98.261994
197.000000,-98.263095
251.000000,-98.264768
318.000000,-98.266377
391.000000,-98.268442
457.000000,-98.270817
506.000000,-98.271499
531.000000,-98.272037
528.000000,-98.270567
502.000000,-98.269174
462.000000,-98.267159
420.000000,-98.265621
386.000000,-98.265618
365.000000,-98.267120
359.000000,-98.269040
365.000000,-98.265262
376.000000,-98.266773
387.000000,-98.266715
389.000000,-98.266756
379.000000,-98.266326
357.000000,-98.265602
325.000000,-98.263400
289.000000,-98.262068
254.000000,-98.261163
226.000000,-98.259910
209.000000,-98.258885
206.000000,-98.258403
218.000000,-98.258413
244.000000,-98.258528
283.000000,-98.259387
329.000000,-98.260811
376.000000,-98.261640
416.000000,-98.263278
443.000000,-98.264806
449.000000,-98.265084
435.000000,-98.265604
403.000000,-98.263019
360.000000,-98.261832
315.000000,-98.261112
280.000000,-98.259189
261.000000,-98.258785
262.000000,-98.258382
283.000000,-98.260216
318.000000,-98.260807
360.000000,-98.261578
399.000000,-98.262622
424.000000,-98.262746
431.000000,-98.261820
416.000000,-98.260324
382.000000,-98.258908
335.000000,-98.256806
285.000000,-98.254080
240.000000,-98.251571
208.000000,-98.250334
196.000000,-98.248758
206.000000,-98.248446
240.000000,-98.248996
293.000000,-98.250647
360.000000,-98.252862
430.000000,-98.254577
491.000000,-98.255872
530.000000,-98.257008
538.000000,-98.257163
513.000000,-98.256245
462.000000,-98.253958
398.000000,-98.249226
336.000000,-98.246072
291.000000,-98.244736
275.000000,-98.239185
293.000000,-98.238316
