Volume[Å³],Energy[eV/atom]
43.51310814,-4.05592776
43.57803817,-4.05750834
43.64296820,-4.05905386
43.70789823,-4.06056465
43.77282826,-4.06204100
43.83775829,-4.06348322
43.90268831,-4.06489161
43.96761834,-4.06626647
44.03254837,-4.06760809
44.09747840,-4.06891677
44.16240843,-4.07019280
44.22733846,-4.07143646
44.29226848,-4.07264805
44.35719851,-4.07382784
44.42212854,-4.07497611
44.48705857,-4.07609315
44.55198860,-4.07717922
44.61691862,-4.07823460
44.68184865,-4.07925957
44.74677868,-4.08025438
44.81170871,-4.08121930
44.87663874,-4.08215460
44.94156877,-4.08306053
45.00649879,-4.08393736
45.07142882,-4.08478535
45.13635885,-4.08560474
45.20128888,-4.08639578
45.26621891,-4.08715873
45.33114893,-4.08789384
45.39607896,-4.08860134
45.46100899,-4.08928148
45.52593902,-4.08993451
45.59086905,-4.09056066
45.65579908,-4.09116016
45.72072910,-4.09173325
45.78565913,-4.09228017
45.85058916,-4.09280114
45.91551919,-4.09329640
45.98044922,-4.09376616
46.04537925,-4.09421066
46.11030927,-4.09463011
46.17523930,-4.09502473
46.24016933,-4.09539475
46.30509936,-4.09574038
46.37002939,-4.09606183
46.43495941,-4.09635932
46.49988944,-4.09663306
46.56481947,-4.09688325
46.62974950,-4.09711011
46.69467953,-4.09731384
46.75960956,-4.09749465
46.82453958,-4.09765273
46.88946961,-4.09778828
46.95439964,-4.09790151
47.01932967,-4.09799261
47.08425970,-4.09806178
47.14918973,-4.09810920
47.21411975,-4.09813507
47.27904978,-4.09813959
47.34397981,-4.09812293
47.40890984,-4.09808529
47.47383987,-4.09802686
47.53876989,-4.09794780
47.60369992,-4.09784831
47.66862995,-4.09772857
47.73355998,-4.09758875
47.79849001,-4.09742904
47.86342004,-4.09724960
47.92835006,-4.09705062
47.99328009,-4.09683227
48.05821012,-4.09659471
48.12314015,-4.09633811
48.18807018,-4.09606265
48.25300020,-4.09576850
48.31793023,-4.09545581
48.38286026,-4.09512476
48.44779029,-4.09477549
48.51272032,-4.09440819
48.57765035,-4.09402300
48.64258037,-4.09362009
48.70751040,-4.09319960
48.77244043,-4.09276171
48.83737046,-4.09230656
48.90230049,-4.09183430
48.96723052,-4.09134509
49.03216054,-4.09083908
49.09709057,-4.09031642
49.16202060,-4.08977726
49.22695063,-4.08922174
49.29188066,-4.08865000
49.35681068,-4.08806221
49.42174071,-4.08745849
49.48667074,-4.08683898
49.55160077,-4.08620384
49.61653080,-4.08555320
49.68146083,-4.08488720
49.74639085,-4.08420597
49.81132088,-4.08350965
49.87625091,-4.08279838
49.94118094,-4.08207229
