number,value,datetime_start,datetime_complete,duration,params_dropout_l0,params_dropout_l1,params_dropout_l2,params_dropout_l3,params_dropout_l4,params_dropout_l5,params_dropout_l6,params_dropout_l7,params_dropout_l8,params_dropout_l9,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_n_units_l3,params_n_units_l4,params_n_units_l5,params_n_units_l6,params_n_units_l7,params_n_units_l8,params_n_units_l9,params_optimizer,params_weight_decay,state
0,0.9995841205120086,2025-12-25 22:26:20.564435,2025-12-25 22:26:22.036522,0 days 00:00:01.472087,0.36599697090570255,0.07800932022121826,0.02904180608409973,0.3005575058716044,0.010292247147901223,,,,,,0.0002310201887845295,5,248,160,40.0,224.0,184.0,,,,,,Adam,5.415244119402541e-06,COMPLETE
1,0.6603034973144531,2025-12-25 22:26:22.036677,2025-12-25 22:26:22.959736,0 days 00:00:00.923059,0.21597250932105788,0.30592644736118974,0.14607232426760908,0.22803499210851796,,,,,,,0.0015304852121831476,4,136,80,40.0,96.0,,,,,,,Adam,1.5339162591163623e-06,COMPLETE
2,1.01923006772995,2025-12-25 22:26:22.959878,2025-12-25 22:26:24.750488,0 days 00:00:01.790610,0.03252579649263976,0.4828160165372797,0.15230688458668534,0.34211651325607845,0.06101911742238941,0.017194260557609198,0.12938999080000846,,,,0.0012399967836846098,7,48,248,208.0,32.0,120.0,128.0,240.0,,,,Adam,5.4880470007660465e-06,COMPLETE
3,1.0232300162315369,2025-12-25 22:26:24.750638,2025-12-25 22:26:27.418467,0 days 00:00:02.667829,0.46974947078209456,0.29894998940554257,0.04424625102595975,0.022613644455269033,0.194338644844741,0.41436875457596467,0.14046725484369038,0.07046211248738132,0.03727532183988541,0.3861223846483287,0.002592475660475159,10,200,232,240.0,56.0,88.0,72.0,96.0,144.0,208.0,256.0,RMSprop,0.0008241925264876454,COMPLETE
4,1.0189599394798279,2025-12-25 22:26:27.418636,2025-12-25 22:26:28.439191,0 days 00:00:01.020555,0.1792328642721363,0.43155171293779676,0.1654490124263246,0.1554911608578311,0.36480308916903204,0.44360637128816327,0.05979712296915085,0.3803925243084487,,,0.0011103647313054626,8,24,32,160.0,24.0,88.0,168.0,128.0,184.0,,,SGD,5.1305517605898387e-05,COMPLETE
5,1.017615830898285,2025-12-25 22:26:28.439345,2025-12-25 22:26:28.648156,0 days 00:00:00.208811,0.015714592843367126,0.15717799053816334,,,,,,,,,0.000661859559718348,2,32,168,,,,,,,,,SGD,0.001052457468133564,COMPLETE
6,1.0191007733345032,2025-12-25 22:26:28.648284,2025-12-25 22:26:29.168689,0 days 00:00:00.520405,0.144875726456884,0.46484882617128653,0.31670187825521173,0.40183603844955723,,,,,,,0.004119839624605189,4,24,48,208.0,224.0,,,,,,,SGD,0.003840300419098858,PRUNED
7,0.6903219103813172,2025-12-25 22:26:29.168802,2025-12-25 22:26:29.790583,0 days 00:00:00.621781,0.11396758127097084,0.40900738296124656,0.0034760652655953517,0.2087055015743895,,,,,,,0.007688106801474953,4,32,112,224.0,136.0,,,,,,,RMSprop,1.9625093208439877e-05,PRUNED
8,1.0120084762573243,2025-12-25 22:26:29.790689,2025-12-25 22:26:30.657528,0 days 00:00:00.866839,0.181814801189647,0.4812236474710556,0.24862425294619273,0.1424202471887338,0.3047821669899484,0.025739375624994676,,,,,0.00019489008462344248,6,184,256,72.0,80.0,16.0,136.0,,,,,SGD,9.074256288983866e-05,COMPLETE
9,1.0187546551227569,2025-12-25 22:26:30.657671,2025-12-25 22:26:32.454898,0 days 00:00:01.797227,0.3360677737029393,0.11881877199619983,0.1838915663596266,0.31676485538044735,0.04514488502720415,0.16039003248586792,0.020387570777381958,0.3387821809211412,0.2560465291496405,0.32258639520472493,0.0074723976893329375,10,64,200,192.0,168.0,144.0,216.0,48.0,152.0,8.0,64.0,SGD,3.548818403010947e-06,COMPLETE
10,0.8349120140075683,2025-12-25 22:26:32.455050,2025-12-25 22:26:32.776961,0 days 00:00:00.321911,0.25901858224725754,0.2828065453407016,,,,,,,,,0.0005279879280175436,2,104,96,,,,,,,,,Adam,1.1053984112218185e-06,COMPLETE
11,0.8648210406303406,2025-12-25 22:26:32.777092,2025-12-25 22:26:33.120460,0 days 00:00:00.343368,0.28614148825428104,0.27922814329536355,,,,,,,,,0.00048420803007295733,2,112,88,,,,,,,,,Adam,1.105340397356483e-06,COMPLETE
12,0.6310711950063705,2025-12-25 22:26:33.120587,2025-12-25 22:26:33.970134,0 days 00:00:00.849547,0.2456496044555177,0.2060391249416228,0.48333372353456117,,,,,,,,0.00200247449044361,3,112,80,96.0,,,,,,,,Adam,1.3625220514033534e-06,COMPLETE
13,0.6711168587207794,2025-12-25 22:26:33.970294,2025-12-25 22:26:34.530324,0 days 00:00:00.560030,0.4234980616943327,0.20392941597747732,0.4590712813623271,0.495744337142461,,,,,,,0.002881838632933024,4,160,8,96.0,104.0,,,,,,,Adam,1.8139520672149188e-05,PRUNED
14,0.677813857793808,2025-12-25 22:26:34.530425,2025-12-25 22:26:34.943135,0 days 00:00:00.412710,0.22587869209405162,0.3599791008555476,0.44801265468243523,,,,,,,,0.0017489356598572145,3,136,72,24.0,,,,,,,,Adam,1.0249902920971569e-06,PRUNED
15,1.0190394639968872,2025-12-25 22:26:34.943238,2025-12-25 22:26:35.957852,0 days 00:00:01.014614,0.08084330541961962,0.007755190997113581,0.3573932953203576,0.012751318145697854,0.4606066463010027,,,,,,0.00011078863852310209,5,88,136,112.0,168.0,256.0,,,,,,Adam,0.0003866710328767856,PRUNED
16,0.6031992018222809,2025-12-25 22:26:35.957959,2025-12-25 22:26:36.711721,0 days 00:00:00.753762,0.31342672053445575,0.2099522531513413,0.4991586238232392,,,,,,,,0.004297617118714009,3,144,56,64.0,,,,,,,,RMSprop,1.3204243722660705e-05,COMPLETE
17,0.6082507789134979,2025-12-25 22:26:36.711861,2025-12-25 22:26:37.188518,0 days 00:00:00.476657,0.323196764974083,0.21967287372184294,0.4942013032668897,,,,,,,,0.004546104093226646,3,208,48,152.0,,,,,,,,RMSprop,1.2405319719901503e-05,COMPLETE
