Volume[Å³],Energy[eV/atom]
91.61603978,-7.21848352
91.71341084,-7.21926297
91.81078189,-7.22002631
91.90815295,-7.22077361
92.00552400,-7.22150495
92.10289505,-7.22222042
92.20026611,-7.22292010
92.29763716,-7.22360406
92.39500822,-7.22427239
92.49237927,-7.22492517
92.58975033,-7.22556246
92.68712138,-7.22618436
92.78449243,-7.22679095
92.88186349,-7.22738229
92.97923454,-7.22795846
93.07660560,-7.22851955
93.17397665,-7.22906562
93.27134770,-7.22959676
93.36871876,-7.23011303
93.46608981,-7.23061452
93.56346087,-7.23110130
93.66083192,-7.23157344
93.75820298,-7.23203102
93.85557403,-7.23247411
93.95294508,-7.23290278
94.05031614,-7.23331711
94.14768719,-7.23371717
94.24505825,-7.23410303
94.34242930,-7.23447475
94.43980035,-7.23483242
94.53717141,-7.23517611
94.63454246,-7.23550588
94.73191352,-7.23582180
94.82928457,-7.23612394
94.92665563,-7.23641238
95.02402668,-7.23668718
95.12139773,-7.23694841
95.21876879,-7.23719614
95.31613984,-7.23743043
95.41351090,-7.23765135
95.51088195,-7.23785898
95.60825301,-7.23805337
95.70562406,-7.23823460
95.80299511,-7.23840273
95.90036617,-7.23855782
95.99773722,-7.23869994
96.09510828,-7.23882916
96.19247933,-7.23894553
96.28985038,-7.23904913
96.38722144,-7.23914002
96.48459249,-7.23921826
96.58196355,-7.23928392
96.67933460,-7.23933705
96.77670566,-7.23937773
96.87407671,-7.23940601
96.97144776,-7.23942195
97.06881882,-7.23942562
97.16618987,-7.23941708
97.26356093,-7.23939638
97.36093198,-7.23936360
97.45830303,-7.23931878
97.55567409,-7.23926200
97.65304514,-7.23919331
97.75041620,-7.23911276
97.84778725,-7.23902042
97.94515831,-7.23891635
98.04252936,-7.23880061
98.13990041,-7.23867325
98.23727147,-7.23853433
98.33464252,-7.23838391
98.43201358,-7.23822205
98.52938463,-7.23804880
98.62675568,-7.23786422
98.72412674,-7.23766837
98.82149779,-7.23746130
98.91886885,-7.23724307
99.01623990,-7.23701373
99.11361096,-7.23677334
99.21098201,-7.23652196
99.30835306,-7.23625964
99.40572412,-7.23598643
99.50309517,-7.23570239
99.60046623,-7.23540757
99.69783728,-7.23510202
99.79520833,-7.23478581
99.89257939,-7.23445897
99.98995044,-7.23412157
100.08732150,-7.23377366
100.18469255,-7.23341529
100.28206361,-7.23304650
100.37943466,-7.23266736
100.47680571,-7.23227792
100.57417677,-7.23187822
100.67154782,-7.23146832
100.76891888,-7.23104826
100.86628993,-7.23061810
100.96366098,-7.23017789
101.06103204,-7.22972767
101.15840309,-7.22926751
101.25577415,-7.22879743
