Volume[Å³],Energy[eV/atom]
43.51310814,-4.04342928
43.57803817,-4.04479209
43.64296820,-4.04613095
43.70789823,-4.04744586
43.77282826,-4.04873682
43.83775829,-4.05000384
43.90268831,-4.05124691
43.96761834,-4.05246606
44.03254837,-4.05366128
44.09747840,-4.05483257
44.16240843,-4.05597996
44.22733846,-4.05710346
44.29226848,-4.05820306
44.35719851,-4.05927879
44.42212854,-4.06033065
44.48705857,-4.06135867
44.55198860,-4.06236285
44.61691862,-4.06334322
44.68184865,-4.06429979
44.74677868,-4.06523257
44.81170871,-4.06614160
44.87663874,-4.06702688
44.94156877,-4.06788843
45.00649879,-4.06872629
45.07142882,-4.06954047
45.13635885,-4.07033099
45.20128888,-4.07109788
45.26621891,-4.07184117
45.33114893,-4.07256087
45.39607896,-4.07325702
45.46100899,-4.07392964
45.52593902,-4.07457877
45.59086905,-4.07520441
45.65579908,-4.07580662
45.72072910,-4.07638542
45.78565913,-4.07694083
45.85058916,-4.07747289
45.91551919,-4.07798163
45.98044922,-4.07846709
46.04537925,-4.07892930
46.11030927,-4.07936828
46.17523930,-4.07978408
46.24016933,-4.08017673
46.30509936,-4.08054627
46.37002939,-4.08089272
46.43495941,-4.08121614
46.49988944,-4.08151655
46.56481947,-4.08179400
46.62974950,-4.08204851
46.69467953,-4.08228014
46.75960956,-4.08248892
46.82453958,-4.08267489
46.88946961,-4.08283809
46.95439964,-4.08297856
47.01932967,-4.08309634
47.08425970,-4.08319147
47.14918973,-4.08326401
47.21411975,-4.08331398
47.27904978,-4.08334143
47.34397981,-4.08334641
47.40890984,-4.08332896
47.47383987,-4.08328912
47.53876989,-4.08322694
47.60369992,-4.08314247
47.66862995,-4.08303574
47.73355998,-4.08290681
47.79849001,-4.08275572
47.86342004,-4.08258252
47.92835006,-4.08238725
47.99328009,-4.08216996
48.05821012,-4.08193070
48.12314015,-4.08166952
48.18807018,-4.08138647
48.25300020,-4.08108159
48.31793023,-4.08075493
48.38286026,-4.08040654
48.44779029,-4.08003648
48.51272032,-4.07964478
48.57765035,-4.07923151
48.64258037,-4.07879670
48.70751040,-4.07834042
48.77244043,-4.07786271
48.83737046,-4.07736362
48.90230049,-4.07684321
48.96723052,-4.07630152
49.03216054,-4.07573861
49.09709057,-4.07515453
49.16202060,-4.07454933
49.22695063,-4.07392306
49.29188066,-4.07327578
49.35681068,-4.07260754
49.42174071,-4.07191838
49.48667074,-4.07120838
49.55160077,-4.07047757
49.61653080,-4.06972601
49.68146083,-4.06895376
49.74639085,-4.06816086
49.81132088,-4.06734738
49.87625091,-4.06651336
49.94118094,-4.06565887
