Reaction Coordinate,Energy (meV)
0.00000000,0.00000000
0.00010800,-0.00015140
0.00021600,-0.00060550
0.00032401,-0.00136218
0.00043201,-0.00242131
0.00054001,-0.00378275
0.00064801,-0.00544638
0.00075602,-0.00741206
0.00086402,-0.00967966
0.00097202,-0.01224906
0.00108002,-0.01512011
0.00118803,-0.01829270
0.00129603,-0.02176669
0.00140403,-0.02554194
0.00151203,-0.02961834
0.00162004,-0.03399574
0.00172804,-0.03867401
0.00183604,-0.04365304
0.00194404,-0.04893268
0.00205205,-0.05451280
0.00216005,-0.06039327
0.00226805,-0.06657397
0.00237605,-0.07305476
0.00248406,-0.07983551
0.00259206,-0.08691610
0.00270006,-0.09429638
0.00280806,-0.10197623
0.00291607,-0.10995552
0.00302407,-0.11823412
0.00313207,-0.12681189
0.00324007,-0.13568871
0.00334808,-0.14486444
0.00345608,-0.15433896
0.00356408,-0.16411213
0.00367208,-0.17418382
0.00378009,-0.18455391
0.00388809,-0.19522226
0.00399609,-0.20618873
0.00410409,-0.21745321
0.00421210,-0.22901556
0.00432010,-0.24087564
0.00442810,-0.25303333
0.00453610,-0.26548850
0.00464411,-0.27824101
0.00475211,-0.29129074
0.00486011,-0.30463755
0.00496811,-0.31828132
0.00507612,-0.33222191
0.00518412,-0.34645919
0.00529212,-0.36099303
0.00540012,-0.37582330
0.00550813,-0.39094987
0.00561613,-0.40637261
0.00572413,-0.42209139
0.00583213,-0.43810608
0.00594014,-0.45441654
0.00604814,-0.47102265
0.00615614,-0.48792427
0.00626414,-0.50512128
0.00637215,-0.52261354
0.00648015,-0.54040092
0.00658815,-0.55848330
0.00669615,-0.57686053
0.00680416,-0.59553250
0.00691216,-0.61449906
0.00702016,-0.63376010
0.00712816,-0.65331547
0.00723617,-0.67316505
0.00734417,-0.69330870
0.00745217,-0.71374631
0.00756017,-0.73447772
0.00766818,-0.75550282
0.00777618,-0.77682148
0.00788418,-0.79843355
0.00799218,-0.82033892
0.00810019,-0.84253745
0.00820819,-0.86502901
0.00831619,-0.88781347
0.00842419,-0.91089069
0.00853220,-0.93426056
0.00864020,-0.95792293
0.00874820,-0.98187768
0.00885620,-1.00612468
0.00896421,-1.03066379
0.00907221,-1.05549488
0.00918021,-1.08061783
0.00928821,-1.10603250
0.00939622,-1.13173876
0.00950422,-1.15773648
0.00961222,-1.18402553
0.00972022,-1.21060578
0.00982823,-1.23747710
0.00993623,-1.26463936
0.01004423,-1.29209243
0.01015223,-1.31983617
0.01026024,-1.34787045
0.01036824,-1.37619516
0.01047624,-1.40481014
0.01058424,-1.43371528
0.01069225,-1.46291044
